Date	Count
2022-12-21	58
2022-12-27	94
2022-10-02	3
2022-12-06	34
2022-10-07	1
2022-12-28	116
2023-03-17	53
2023-04-05	31
2023-03-12	32
2023-03-07	69
2023-01-31	38
2023-02-28	79
2023-03-08	61
2023-01-21	19
2023-02-14	44
2023-04-25	23
2023-02-01	53
2023-02-03	33
2023-01-17	73
2023-03-13	63
2023-03-29	24
2023-04-08	11
2023-03-19	37
2023-03-25	29
2023-03-20	55
2023-01-09	122
2023-01-29	33
2023-02-22	40
2023-02-16	70
2023-03-01	41
2023-04-03	35
2023-04-10	33
2023-04-14	16
2023-04-19	49
2023-01-28	63
2023-03-21	55
2023-02-07	51
2023-02-13	67
2023-03-03	84
2023-01-03	131
2023-01-23	29
2023-01-16	96
2022-12-30	51
2023-03-04	21
2023-01-19	39
2023-02-10	83
2023-02-04	10
2023-01-30	71
2023-03-14	60
2023-02-27	66
2023-03-16	42
2023-03-11	51
2023-03-22	35
2023-04-07	40
2023-04-23	41
2023-04-11	32
2023-02-21	76
2023-04-06	37
2023-02-02	44
2023-03-24	25
2023-03-15	40
2023-02-23	49
2023-01-05	106
2023-03-28	16
2023-01-18	31
2022-12-29	70
2023-03-99	18
2023-02-20	67
2022-12-01	90
2023-01-10	72
2023-01-15	38
2022-12-07	12
2023-01-24	40
2023-01-13	42
2023-02-99	53
2022-12-03	43
2022-12-99	14
2023-01-04	118
2022-11-30	19
2022-12-05	75
2022-12-02	59
2022-12-20	60
2022-11-02	13
2023-03-27	47
2023-03-31	40
2023-02-24	60
2022-12-15	17
2023-01-08	54
2022-12-24	71
2023-01-01	22
2022-12-13	39
2023-02-19	36
2023-02-17	28
2023-02-12	18
2023-04-04	26
2023-03-30	17
2023-03-26	24
2023-02-09	16
2023-02-06	46
2023-02-15	30
2023-01-25	29
2022-12-04	37
2023-04-17	60
2022-12-26	94
2023-03-23	41
2023-03-09	28
2022-12-22	90
2023-01-20	55
2022-12-19	105
2023-03-10	61
2023-02-11	33
2022-12-08	54
2022-12-11	50
2023-05-05	9
2023-04-01	12
2023-01-06	83
2023-04-20	19
2023-04-24	21
2023-05-06	5
2023-05-01	5
2023-04-16	22
2023-01-14	18
2023-03-18	22
2023-03-06	70
2023-02-05	26
2023-03-02	29
2023-04-13	9
2023-02-08	40
2023-01-11	77
2023-01-12	77
2022-11-29	12
2023-04-09	9
2022-12-31	35
2023-01-26	46
2023-04-12	12
2023-04-02	14
2023-02-26	30
2023-04-18	42
2023-02-25	18
2023-04-21	33
2023-05-02	7
2022-12-18	27
2023-03-05	22
2023-05-04	6
2023-04-26	20
2023-04-15	10
2023-04-28	12
2023-05-03	24
2023-05-23	1
2023-04-27	10
2022-12-14	29
2023-02-18	53
2023-01-27	12
2023-01-07	36
2022-12-16	21
2023-04-22	9
2022-12-25	59
2022-11-18	13
2023-01-02	79
2022-12-23	58
2023-01-22	13
2022-11-26	9
2022-12-17	22
2023-99-99	6
2022-12-12	30
2023-04-29	7
2022-11-27	1
2022-12-10	7
2022-11-28	12
2023-05-07	1
2023-05-09	5
2022-08-15	1
2022-10-30	5
2022-10-28	6
2022-10-27	4
2022-11-01	15
2022-10-29	9
2022-11-06	20
2022-11-05	14
2022-10-19	2
2022-10-25	1
2022-11-25	19
2022-09-27	1
2022-10-08	1
2022-10-06	1
2022-11-17	10
2022-10-09	2
2022-10-10	3
2022-11-03	14
2022-11-07	18
2022-10-31	6
2022-11-09	16
2022-11-15	20
2022-11-12	18
2022-11-04	11
2022-11-22	12
2022-11-21	33
2022-10-22	1
2022-10-03	1
2022-11-23	17
2022-12-09	73
2023-04-30	2
2022-11-24	23
2022-11-10	10
2022-11-08	16
2022-11-13	15
2022-11-19	18
2022-11-16	12
2022-11-14	15
2022-11-11	8
2022-11-20	9
